               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095061,            0.025766,            0.059058,             0.58105,             0.28686,             0.16223,            0.097331,            0.085199,            0.011882,            0.039995,             0.07037,           0.0032922,           0.0032922
                   1,            0.071965,            0.022269,            0.027152,             0.81202,             0.29093,             0.30711,             0.28311,            0.082594,           0.0083333,            0.027648,            0.040357,           0.0066124,           0.0066124
                   2,            0.066108,            0.019896,            0.017611,             0.68603,              0.3449,             0.33887,              0.3058,            0.078772,           0.0080319,            0.020206,            0.010331,           0.0099194,           0.0099194
                   3,            0.060309,            0.019227,            0.014149,              0.7689,             0.37731,             0.33803,             0.29829,            0.066726,           0.0079831,            0.013943,           0.0099406,           0.0099406,           0.0099406
                   4,             0.05275,            0.018167,            0.013134,              0.8261,             0.41552,             0.42693,              0.3666,             0.06322,           0.0081618,            0.013848,           0.0099406,           0.0099406,           0.0099406
                   5,            0.050198,            0.017649,            0.012899,             0.86503,             0.38244,             0.43059,             0.35743,            0.063833,           0.0080682,            0.013745,           0.0099208,           0.0099208,           0.0099208
                   6,            0.048005,            0.017188,            0.011294,             0.71512,             0.38609,             0.38026,             0.30393,            0.063986,           0.0085182,            0.014169,            0.009901,            0.009901,            0.009901
                   7,            0.046831,            0.016808,            0.011074,             0.87115,             0.40683,             0.45924,             0.40252,            0.056118,           0.0078177,            0.010226,           0.0098812,           0.0098812,           0.0098812
                   8,             0.04581,            0.016485,            0.011347,             0.83751,             0.37336,             0.40804,               0.363,             0.06201,           0.0075094,            0.011652,           0.0098614,           0.0098614,           0.0098614
                   9,            0.044748,            0.016492,            0.011146,             0.84481,             0.42039,             0.44574,             0.39066,             0.05528,           0.0079063,            0.010081,           0.0098416,           0.0098416,           0.0098416
                  10,            0.043865,            0.016186,            0.011199,             0.89255,             0.42661,             0.49263,             0.39072,            0.051843,           0.0068782,           0.0080242,           0.0098218,           0.0098218,           0.0098218
